id	текст
407	В солнечный день, наверное, и вода играет другими красками. Ну а наше нынешнее лето было такое, какое было._Главное, что это не повод сидеть дома,
921	там никто не в курсе никаких автобусов_говорят; что всё на автостанцию приходит.
1051	В каком-то проёме за щёлкой эти монетки и остались._И даже никаких чеков автомат не выдаёт.
1067	Что ни говори, общий относительно приличный уровень транспорта обеспечивает ТОЛЬКО железная дорога._Автобусный транспорт реально много где на уровне стран 3-го мира. Это и подвижной состав и автовокзалы, и организация движения - всё боль и тлен..
1161	Коробка красивая,_прибор явно туфтовый, даже по внешнему виду.
1245	много есть отзывов об этих мошенниках._И никто, не полиция, ни власти никаких мер не принимают!
1569	Он потом рассказывал, что я смотрела на него в упор_- и не видела!
1958	На лице официанта явно читается «мадам, вы не в Макдоналдсе,_у нас едят долго и вдумчиво».
2267	Здесь заседают очень серьёзные пацаны. У них очень важная работа:_нажимать кнопки «за-против-воздержался».
2293	Вез девушку из супермаркета с двумя полными пакетами._Не ставила в багажник, взяла с собой в салон.
2359	На подоконнике махровый плед - котиковое хозяйство._Самого кота там нет.
2376	Знаете, бывают подарки новогодние,_бывают - предновогодние.
2554	Нет, я не какой-то специальный любитель туалетофоток._Просто так совпало:)
2603	Несколько раз уходила,_возвращалась,
2627	нам потребовалось несколько минут, чтобы понять, что рисунок тот же самый,_просто впечатляет сильнее:) IMG
2632	По рассказам передержки это должен был быть тихий, самодостаточный кот, с которым можно и поиграть, и не поиграть._В реальности кот оказался драматическим актером в амплуа неврастеника
2776	Коллега была в начале декабря, говорит, в бассейне не плавала_ ходила.
2778	Отель не сильно туристический,_больше деловой -
2807	пражане не пишут на почтовых ящиках номера квартир._Вместо них они пишут фамилии.
2865	Приобрести билеты у водителя невозможно, кондукторов тут тоже нет_(контролеры, кстати, встречаются).
2913	Что ж, всегда надо понимать, что то, что для одного вау,_для другого - мда?.
3034	Пока спать не хочется._Хочется посмотреть чего-то милого, душевного.
3618	Девушки, то, о чём вы грезите, о быстрых результатах – это не путь девушки, которая приходит к тренировкам и правильной системе питания._Быстрые результаты – это путь к плохому здоровью,
4609	также вашему пищеварению будет проще справляться с простыми сочетаниями._Для всех остальных смешивание разных фруктов и их употребление в разумных количествах не будет проблемой для пищеварения.
4675	С появлением смартфонов и ноутбуков нам стало заметно легче жить_— чего не скажешь о нашем позвоночнике.
5017	Матерым тестерам мало платят._Опытным тестерам вообще-то не за что платить много
5113	Быстро работать руками - не поможет._Придется работать головой.
5172	Самоподдерживающаяся система, не требующая ресурса управления,_требующая только материальных ресурсов.
5626	Нет единственно правильного способа писать код._Есть лишь способы, которые эффективны в определённой ситуации и при определённом сценарии развития событий.
5689	При этом он не будет представлять собой разрушительную силу, которая пытается втиснуть всё, с чем сталкивается, в прокрустово ложе собственного опыта._Этот человек спокойно воспринимает ошибки сослуживцев, да и свои тоже.
6282	У G7 ThinQ есть все, что должно быть у современного флагмана: качественный экран, мощный процессор, отличные камеры, шикарный звук…_Единственное, что вызывает вопросы - дизайн смартфона.
6338	В Канбан особо и практик-то нет,_есть только несколько основных принципов.
6712	Технология редко оказывается настоящим источником проблемы._Почти всегда дело в людях, не разобравшихся, как эту технологию правильно применять.
6782	Зоопарк технологий создает проблемы,_как бы вам не хотелось верить в обратное.
6825	И кому, собственно, вы такой классный будете нужны со знанием этих странных и никому не нужных технологий?_Не лучше ли инвестировать свое время в что-то более распространенное на практике?
6963	Не то чтобы я НЕ хотел чтобы веб во что-то превратился._Я хотел, может, даже больше других.
6967	Это давно пора зафиксировать,_я просто немножко тормоз, конечно
6977	или что я могу сказать, где будущее._Все что я могу сказать что оно точно не здесь.
7034	Действительно, раз уж шампунь волосы запутал,_надо бы масочкой их распутать!
7239	Как бы ни казалось, что три дня уж без удобств можно прожить,_удобства все-таки решают.
7390	Все выглядит так, как было раньше._Вот только самолеты не приземляются.
7428	Это не значит, что не нужно использовать чужой опыт и признавать авторитеты,_это лишь значит, что время от времени нужно пересматривать свои подходы
7870	Раньше считалось, что самый страшный сон англосаксов – это союз России и Германии._Оказалось, что это союз России и Китая.
8180	Если создание цифровой экономики даёт России хороший шанс на развитие,_все остальные сценарии ведут к неизбежному проигрышу — или медленному, или быстрому.
8483	«Дождь» не получает ни государственного, ни иностранного финансирования_(как же так, если вторая транзакция была проведена как раз-таки в первом полугодии 2015?)
8924	инфантилы редко воспринимают боль как сигнал, что внутри них что-то неправильно,_они ищут пороки снаружи, в устройстве мира, в поведении других людей.
9100	такой спортивный человек, с таким огромным опытом работы со своим телом -_и так его переклинило.
9176	стоит миру как-то пошатнуться._Я - совсем не спортсменка,_просто немного двигаюсь
9228	Несколько раз даже думала уйти,_просто постеснялась среди первой же песни выходить из зала.
9538	Когда это блажь,_когда необходимость?
9658	Ценник невысокий,_качество отличное.
9764	Ведь бросают только плохих,_хороших бросить не могут!
9903	и люди в трезвом и спокойном состоянии не рискуют делать то, что не понравится второму._В гневе - другое дело.
9973	Это не магия,_это реально не сложно.
10043	То есть рассматривать ситуацию в вакууме невозможно._Надо видеть контекст.
10348	Правда люди с совсем плохими границами всегда вредят в первую очередь себе._Вот люди с хорошими границами, но недостатком этики могут вредить другим, а себе в отдаленной перспективе
10430	пытаетесь другими рулить,_думая, что рулите собой.
11192	и что я только не перепробовала,_ничего не помогало убрать красноту и шелушения.
11292	Соседи свидетельствуют, что глава семьи выгуливал двух собак._Остальные отправлялись на самовыгул
11308	Это не спасение и не помощь животным._Это издевательство над ними, над их природой.
11705	Какая разница, что продвигать и зачем?_Главное — почём.
11842	Простите, я не беру в расчет кандидатскую диссертацию, защищенную в российском областном центре на примере 17 семей и 3 авторских методик, сочиненных самим автором._Я про реальные серьезные исследования.
12098	нужна только политическая воля,_всё остальное есть.
12146	Это даже не парковка,_это просто пустырь грязный
12253	На одной чаше куча бабла на пиар-бюджет никому не нужной хреномути,_на другой какой-то общественный интерес с непонятными троллейбусами и экономикой.
12458	Мы же понимаем, что как бы это не подавалось в медиа и документах,_в реальности это будет не добровольная работа, а принудительная?
12750	Я давно мечтала искупаться в Тихом океане,_как-то все не получалось.
12797	Чаще всего народ по Патагонии путешествуют с севера на юг._Андрей решил пойти в прямо противоположном направлении.
12903	Нет, либо местная карточка, либо аргентинские песо,_доллары мы не уважаем
12957	Спальники в принципе нигде не были лишними,_разве в одном месте обошлись без них.
13619	Здесь есть какая-то невероятно большая территория туристического шопиинг-центра,_в остальном мало интересного.
13954	Это не у меня руки из одного места,_это памятник завалился
14352	начиная от дорожных знаков,_заканчивая надписью "Спасибо" на товарных чеках. 
14627	Местный замок служил резиденцией магистра Ливонского ордена._Теперь это крупнейший из сохранившихся в Латвии орденских замков.
14670	Этот храм был в свое время главной церковью Ливонского ордена._Ныне это крупнейшая средневековая церковь в Латвии за пределами Риги.
14847	И как правительство не пытается заманить жителей в квартиры —_монголы держатся за свои юрты до последнего!
16183	В фирмах общественной собственности вопросы возникают в отношении оппортунизма менеджеров, которые де-факто выполняют контролирующие функции;_в контролируемых фирмах вопросы возникают в отношении оппортунизма владельца акций за счет миноритарных акционеров.
16291	Минимальный радиус имеет кольцо 1986U2R/ζ (38 000 км),_максимальный — кольцо μ (приблизительно 98 000 км).
16347	Одно из них было красным, _другое — синим.
17062	Был «Мосфильм» — _стал киноконцерн «Мосфильм»,
17064	был «Ленфильм» — _стало акционерное общество «Ленфильм» и так далее.
17523	Родители нынешних 35 — 45-летних могли рассчитывать на социальную защиту, на доступное жильё, на твёрдую пенсию._Сейчас для их выросших детей своя отдельная квартира — вещь куда менее доступная
17648	все это как минимум неэффективно,_как максимум ведет к провалу.
17650	В свое время СССР пытался построить в Афганистане общество «развитого социализма»._Сегодня «демократический Афганистан» строят США
17739	По плану уже к 2025 году четверть всей электроэнергии, которая потребляется США, должна быть добыта из альтернативных источников._Сейчас в энергобалансе США энергия, полученная от солнца и ветра, составляет всего лишь 2%.
17865	Затраты на рекламу - понятно,_за информацию - не понятно.
18074	в 1985 году за один доллар давали 4 марки,_к 1993-му курс германской национальной валюты вырос до 1,35 марки.
18122	Не стоит противопоставлять традиционные навыки соответствующим направлениям медицины,_правильнее рассматривать их как начальные ступени высокой лестницы специальных знаний.
18604	Генетическая форма адаптации возникла в процессе эволюции, в течение жизни многих поколений._Приобретенная форма адаптации возникает в течение жизни индивидуума, например, при переселении в иную климатическую зону.
20173	“План свободы” Америки не является причиной ее сегодняшних мучений на Ближнем Востоке._Проблемой было отсутствие последовательности в продвижении этого плана
20546	Первый вариант, видимо, привел бы к отставке всех правительств стран альянса._Второй означал бы бойню.
20801	Как далеко ни жили друг от друга,_судьба во многом водила нас одними путями.
20986	Мне показалось, что битва захлебнулась, исчерпав себя._Оказывается, ошибся!
20999	У некоторых были маленькие мечи, топоры,_у других — палки из леса да без щитов!
21379	Газета не должна существовать отдельно от прихожан и церкви,_нужно взаимное сотрудничество.
22119	Впрочем, эстонцы освобождали не только Таллин._Они освобождали и Латвию
24927	некоторые называют главным врагом Иран,_другие указывают на Израиль или совсем иные страны.
25922	удары дронов приносят определенный краткосрочный эффект,_чего нельзя сказать о последствиях для долгосрочной стратегии антитеррористической борьбы на Ближнем Востоке и в Африке.
29470	Этот статистический показатель адекватно характеризует отклонения только для симметричных распределений (идеально — для нормального распределения)._В случае сильной асимметрии рассуждения в терминах дисперсии могут приводить к абсурдным выводам, особенно при наличии нерегулярного поведения на «хвостах» распределений
30522	Для случая прозрачности жидкости и дна ротора система является линзой,_в противном случае - зеркалом.
