id	подходит?	текст
406	да	В солнечный день, наверное, и вода играет другими красками. Ну а наше нынешнее лето было такое, какое было._Главное, что это не повод сидеть дома,
894	нет	и зависает на несколько минут._А время идёт.
920	да	там никто не в курсе никаких автобусов_говорят; что всё на автостанцию приходит.
1050	да	В каком-то проёме за щёлкой эти монетки и остались._И даже никаких чеков автомат не выдаёт.
1066	да	Что ни говори, общий относительно приличный уровень транспорта обеспечивает ТОЛЬКО железная дорога._Автобусный транспорт реально много где на уровне стран 3-го мира. Это и подвижной состав и автовокзалы, и организация движения - всё боль и тлен..
1160	да	Коробка красивая,_прибор явно туфтовый, даже по внешнему виду.
1244	да	много есть отзывов об этих мошенниках._И никто, не полиция, ни власти никаких мер не принимают!
1245	нет	Я, позвонив еще раз им  (ИП Саньков А.А.) по телефону, предложил добровольно вернуть деньги,_на что они меня послали… в суд.
1563	нет	 наш потеряшка окажется на моей линии,_и я его не увижу.
1568	да	Он потом рассказывал, что я смотрела на него в упор_- и не видела!
1617	нет	Ну и, естественно, сразу дали кучу направлений - на УЗИ сердца, на аппаратик, который надо привесить и с ним ходить,_и даже не подумали предложить каких-то бесплатных вариантов.
1957	да	На лице официанта явно читается «мадам, вы не в Макдоналдсе,_у нас едят долго и вдумчиво».
2266	да	Здесь заседают очень серьёзные пацаны. У них очень важная работа:_нажимать кнопки «за-против-воздержался».
2292	да	Вез девушку из супермаркета с двумя полными пакетами._Не ставила в багажник, взяла с собой в салон.
2358	да	На подоконнике махровый плед - котиковое хозяйство._Самого кота там нет.
2375	да	Знаете, бывают подарки новогодние,_бывают - предновогодние.
2553	да	Нет, я не какой-то специальный любитель туалетофоток._Просто так совпало:)
2602	да	Несколько раз уходила,_возвращалась,
2626	да	нам потребовалось несколько минут, чтобы понять, что рисунок тот же самый,_просто впечатляет сильнее:) IMG
2631	да	По рассказам передержки это должен был быть тихий, самодостаточный кот, с которым можно и поиграть, и не поиграть._В реальности кот оказался драматическим актером в амплуа неврастеника
2775	да	Коллега была в начале декабря, говорит, в бассейне не плавала_ ходила.
2777	да	Отель не сильно туристический,_больше деловой -
2806	да	пражане не пишут на почтовых ящиках номера квартир._Вместо них они пишут фамилии.
2864	да	Приобрести билеты у водителя невозможно, кондукторов тут тоже нет_(контролеры, кстати, встречаются).
2912	да	Что ж, всегда надо понимать, что то, что для одного вау,_для другого - мда?.
3033	да	Пока спать не хочется._Хочется посмотреть чего-то милого, душевного.
3502	нет	Нельзя питаться всегда одинаково – результата не будет._Составляйте своё меню в зависимости от целей.
3617	да	Девушки, то, о чём вы грезите, о быстрых результатах – это не путь девушки, которая приходит к тренировкам и правильной системе питания._Быстрые результаты – это путь к плохому здоровью,
3756	нет	помогайте своему телу меняться,_не поедайте ночами конфетку, уходя на 3 шага назад.
4608	да	также вашему пищеварению будет проще справляться с простыми сочетаниями._Для всех остальных смешивание разных фруктов и их употребление в разумных количествах не будет проблемой для пищеварения.
4674	да	С появлением смартфонов и ноутбуков нам стало заметно легче жить_— чего не скажешь о нашем позвоночнике.
5016	да	Матерым тестерам мало платят._Опытным тестерам вообще-то не за что платить много
5112	да	Быстро работать руками - не поможет._Придется работать головой.
5171	да	Самоподдерживающаяся система, не требующая ресурса управления,_требующая только материальных ресурсов.
5625	да	Нет единственно правильного способа писать код._Есть лишь способы, которые эффективны в определённой ситуации и при определённом сценарии развития событий.
5688	да	При этом он не будет представлять собой разрушительную силу, которая пытается втиснуть всё, с чем сталкивается, в прокрустово ложе собственного опыта._Этот человек спокойно воспринимает ошибки сослуживцев, да и свои тоже.
6281	да	У G7 ThinQ есть все, что должно быть у современного флагмана: качественный экран, мощный процессор, отличные камеры, шикарный звук…_Единственное, что вызывает вопросы - дизайн смартфона.
6337	да	В Канбан особо и практик-то нет,_есть только несколько основных принципов.
6711	да	Технология редко оказывается настоящим источником проблемы._Почти всегда дело в людях, не разобравшихся, как эту технологию правильно применять.
6781	да	Зоопарк технологий создает проблемы,_как бы вам не хотелось верить в обратное.
6824	да	И кому, собственно, вы такой классный будете нужны со знанием этих странных и никому не нужных технологий?_Не лучше ли инвестировать свое время в что-то более распространенное на практике?
6962	да	Не то чтобы я НЕ хотел чтобы веб во что-то превратился._Я хотел, может, даже больше других.
6966	да	Это давно пора зафиксировать,_я просто немножко тормоз, конечно
6976	да	или что я могу сказать, где будущее._Все что я могу сказать что оно точно не здесь.
7033	да	Действительно, раз уж шампунь волосы запутал,_надо бы масочкой их распутать!
7238	да	Как бы ни казалось, что три дня уж без удобств можно прожить,_удобства все-таки решают.
7389	да	Все выглядит так, как было раньше._Вот только самолеты не приземляются.
7427	да	Это не значит, что не нужно использовать чужой опыт и признавать авторитеты,_это лишь значит, что время от времени нужно пересматривать свои подходы
7735	нет	и при всём своём антисоветизме_начинает петь «Интернационал».
7861	нет	«Хуавэй» подписал договор с «МТС»_(тот самый «Хуавэй», которого США изо всех сил пытаются задавить);
7869	да	Раньше считалось, что самый страшный сон англосаксов – это союз России и Германии._Оказалось, что это союз России и Китая.
8179	да	Если создание цифровой экономики даёт России хороший шанс на развитие,_все остальные сценарии ведут к неизбежному проигрышу — или медленному, или быстрому.
8482	да	«Дождь» не получает ни государственного, ни иностранного финансирования_(как же так, если вторая транзакция была проведена как раз-таки в первом полугодии 2015?)
8923	да	инфантилы редко воспринимают боль как сигнал, что внутри них что-то неправильно,_они ищут пороки снаружи, в устройстве мира, в поведении других людей.
9099	да	такой спортивный человек, с таким огромным опытом работы со своим телом -_и так его переклинило.
9175	да	стоит миру как-то пошатнуться._Я - совсем не спортсменка,_просто немного двигаюсь
9227	да	Несколько раз даже думала уйти,_просто постеснялась среди первой же песни выходить из зала.
9537	да	Когда это блажь,_когда необходимость?
9657	да	Ценник невысокий,_качество отличное.
9763	да	Ведь бросают только плохих,_хороших бросить не могут!
