id	текст
24	Помада довольно стойкая,_отлично переживет перекус.
101	Выпадает небольшой осадок._Всегда встряхиваю перед применением.
136	зато есть ощущение, что присутствует муцин улитки,_консистенция крема какая-то тягучая.
206	Не самый послушный,_может осыпаться под глаза.
392	После октябрьской революции_монастырь официально был закрыт
419	Правда, экскурсия по Неаполю была очень короткой,_мы увидели только самый центр города.
563	Машины на аламовской парковке стоят рассортированные по классам,_тебе просто говорят в каком секторе парковки класс, соответствующий твоему заказу,
606	Никаких служителей нет,_оплачиваешь сам в автомате типа тех, что на парковках.
637	Далеко углубляться по грунтовке не стали_очень уж пыльно.
716	в любом случае, для меня не страшно,_я силикона в средствах для волос не боюсь).
767	Пластик мягкий,_выдавливать средства очень легко.
802	По характеристикам он точно такой же, как и дневной. Такой же плотный, точно так же я его наношу и эффект от него аналогичный._Честно говоря, я не увидела никакой разницы между дневным и ночным,
819	Моя кожа не чувствительная_и даже знаменитую Чистую Линию с абрикосовыми косточками переносит легко.
822	В состав этого скраба входят также входят молотые абрикосовые косточки, но они очень мелкие,_ кожу не травмируют.
928	ну там город поменьше,_должно быть очевиднее где автобусы проходят.
990	Но ничего не помогло -_срок давности - 3 года.
1028	Стопилось безуспешно_все либо ехали мимо либо недалеко.
1283	И вот я неслась высунув язык,_боясь опоздать, огибая скользкие подтеки на тротуарах и медлительных прохожих.
1453	как человек предусмотрительный,_одна я в машинку не села.
1554	Все это надо надо внимательно осматривать:_ человек может быть и в яме; и на крыше сарая.
1736	А я, между прочим, совершенно спокойна_у меня ж все нужные телефоны записаны, я знаю куда бежать и что делать
1756	Прошу прощения за качество,_я прилетела всего на полтора дня, без багажа и нормального фотоаппарата.
1925	А в спину мне внимательно смотрят._Приходится остановиться.
2046	Но что-то недодумали,_теперь желающим попасть на тротуар нужно идти по проезжей части.
2696	Сутки лил дождь,_ковер еще не высох
2956	Раз открыточки куплены,_их надо отправить.
3021	Раз уж я в самом центре,_то немного кадров из дождливой предрождественской Праги.
3300	Пока я столько лет упорно отказывался идти к стоматологу,_зуб у меня окончательно развалился.
3376	Наверное, он выкинул этот шедевр,_дома я таких пепельниц не помню.
3384	Рвать не стала,_кто знает что за чудо такое без листочков, прямо из земли растущее?
3401	Много собирать не стала,_вдруг не понравятся на вкус.
3738	Зная ваши процессы в организме_вы можете быть уверены, что вы на верном пути
3787	и оно защищает тело от физических нагрузок,_именно делая его сильнее, мышцы плотнее и выносливее.
3801	Многие паникуют и бросают занятия,_думая, что мышцы выросли.
3804	Это вода может задерживаться на длительное время и жир медленно гореть._Запаситесь терпением, это со временем уйдёт.
3947	розочки и надписи на колпачке медленно, но верно стираются._Просто так в сумке помаду лучше не носить.
4368	зная, как применять его правильно,_можно достичь результатов
4405	Постепенная минимизация каких-то продуктов в рационе в этом плане гораздо эффективнее -_понемногу меняется само восприятие каких-то вкусов
4709	Не стоит забывать и про регулярную пятиминутную разминку верхнего плечевого пояса и шеи,_она поможет справиться с напряжением.
4890	Плюс к этому вы дополнительно нагружаете коленный сустав,_что со временем приведет к болезненности
4895	после отталкивания старайтесь максимально быстро подтягивать голень толчковой ноги к ягодице._Это позволит как можно меньше находиться на опоре, что заставит увеличить вашу скорость.
4930	все исключают сахар и молоко,_я тоже исключу!
5284	Я убрала из окрашивания басму, оставив хну._Хотелось стать чуть посветлее, ярче, теплее, солнечнее.
5342	Ты же обесцветилась, испортила волосы,_вот и терпи теперь, срезай и отращивай натуральный цвет
5462	Но я стремлюсь добиться максимальной яркости и насыщенности цвета,_использую пигменты в чистом виде.
5414	Кстати, аромат очень насыщенный,_первое время может надоедать своей резкостью.
5477	Консистенция спрея двухфазная,_ перед применением нужно взболтать бутылку.
5660	Широта их знаний, понимание фреймворков и языков программирования, делают их экспертами в вопросе нахождения разницы между программами работающими и программами качественными._Они умеют создавать и то и другое.
5790	Откровенно говоря, уязвимость Zoom — это не самое страшное, что с такими сервисами происходило._В 2017 году проблема была обнаружена в браузерном расширении другого сервиса, где уязвимость позволяла выполнять в системе произвольный код.
5799	это довольно распространенная практика, хотя с точки зрения безопасности явно не самая лучшая —_уж слишком много потенциальных дыр несет с собой такой веб-сервер.
5875	Другой важный момент serverless – это то, что клиентам можно давать доступ к райнтайму платформы,_это ведет к снижению задержек и увеличению надежности.
5973	мы обучили модель на множестве звонков,_теперь она умеет отличать живого человека от записанного сообщения.
6044	Регистрация номеров происходит в профиле internal,_на него и обратим внимание.
